ticker,year_month,period_end,open,high,low,close,r3,c3,pct_range_r3,error
360ONE.NS,2025-11,2025-11-01,1088.699951171875,1186.0,1051.0999755859375,1183.199951171875,1220.2974578857422,1140.0999755859375,7.034249979576433,
3MINDIA.NS,2025-11,2025-11-01,29595.0,37000.0,29490.0,34840.0,36905.25,33776.666666666664,9.262557978880892,
ABB.NS,2025-11,2025-11-01,5215.0,5280.5,4896.0,5175.0,5280.7375,5117.166666666667,3.196511741523627,
ACC.NS,2025-11,2025-11-01,1920.0,1987.0,1807.199951171875,1850.5999755859375,1900.044989013672,1881.5999755859375,0.9802834644484207,
ACMESOLAR.NS,2025-11,2025-11-01,283.5,284.8500061035156,229.0500030517578,230.14999389648438,245.49499473571777,248.01666768391928,-1.0167352749917666,
AIAENG.NS,2025-11,2025-11-01,3258.0,3885.699951171875,3220.0,3862.60009765625,4045.667584228516,3656.1000162760415,10.655276557485218,
APLAPOLLO.NS,2025-11,2025-11-01,1798.0,1811.0,1690.0,1718.9000244140625,1752.1750244140626,1739.9666748046875,0.7016427260450541,
AUBANK.NS,2025-11,2025-11-01,877.0,962.6500244140625,863.75,955.25,982.4475067138671,927.2166748046875,5.956626256836211,
AWL.NS,2025-11,2025-11-01,275.0,282.8999938964844,258.5,259.0,265.7099983215332,266.7999979654948,-0.4085455968041605,
AADHARHFC.NS,2025-11,2025-11-01,511.1499938964844,519.9500122070312,479.5,481.1499938964844,492.273747253418,493.53333536783856,-0.2552184470947213,
AARTIIND.NS,2025-11,2025-11-01,379.95001220703125,419.5,376.6499938964844,382.29998779296875,394.08373947143554,392.81666056315106,0.32256241536903274,
AAVAS.NS,2025-11,2025-11-01,1641.800048828125,1771.9000244140625,1543.9000244140625,1546.5,1609.2,1620.7666829427083,-0.713655029094467,
ABBOTINDIA.NS,2025-11,2025-11-01,29000.0,30655.0,28600.0,30075.0,30640.125,29776.666666666668,2.8997817082726924,
ACE.NS,2025-11,2025-11-01,1102.0,1110.5999755859375,957.0,992.7999877929688,1035.0399810791016,1020.1333211263021,1.461246255179807,
ADANIENSOL.NS,2025-11,2025-11-01,987.0,1050.0,945.2000122070312,994.5499877929688,1023.3699844360351,996.5833333333334,2.687848592962797,
ADANIENT.NS,2025-11,2025-11-01,2484.0,2501.89990234375,2243.0,2280.199951171875,2351.397424316406,2341.699951171875,0.4141210806994371,
ADANIGREEN.NS,2025-11,2025-11-01,1140.0,1166.4000244140625,1000.5999755859375,1048.199951171875,1093.7949645996093,1071.7333170572917,2.058501605874611,
ADANIPORTS.NS,2025-11,2025-11-01,1451.5,1534.300048828125,1425.0,1516.9000244140625,1546.957537841797,1492.0666910807292,3.678846735819114,
ADANIPOWER.NS,2025-11,2025-11-01,158.99000549316406,159.5,144.8000030517578,147.49000549316406,151.53250465393066,150.59666951497397,0.621418217262527,
ATGL.NS,2025-11,2025-11-01,631.5999755859375,634.9000244140625,599.0499877929688,606.6500244140625,616.5087844848633,613.5333455403646,0.48496776354969123,
