ticker,year_month,period_end,open,high,low,close,r3,s3,pct_range_r3,error
YESBANK.NS,2025-11,2025-11-01,23.0,23.0,22.0,23.0,23.0,23.0,0.0,
TRIDENT.NS,2025-11,2025-11-01,29.0,29.0,28.0,28.0,28.0,28.0,0.0,
NESTLEIND.NS,2025-11,2025-11-01,1270.0,1289.0,1251.0,1261.0,1271.0,1251.0,1.6,
CIPLA.NS,2025-11,2025-11-01,1503.0,1538.0,1490.0,1531.0,1544.0,1518.0,1.71,
HINDUNILVR.NS,2025-11,2025-11-01,2456.0,2475.0,2392.0,2467.0,2490.0,2444.0,1.88,
BAJAJHFL.NS,2025-11,2025-11-01,110.0,110.0,105.0,105.0,106.0,104.0,1.92,
COLPAL.NS,2025-11,2025-11-01,2228.0,2228.0,2148.0,2169.0,2191.0,2147.0,2.05,
KOTAKBANK.NS,2025-11,2025-11-01,2102.0,2142.0,2059.0,2124.0,2147.0,2101.0,2.19,
ULTRACEMCO.NS,2025-11,2025-11-01,11927.0,12016.0,11538.0,11600.0,11731.0,11469.0,2.28,
HDFCBANK.NS,2025-11,2025-11-01,985.0,1017.0,974.0,1008.0,1020.0,996.0,2.41,
IDFCFIRSTB.NS,2025-11,2025-11-01,82.0,83.0,78.0,80.0,81.0,79.0,2.53,
GUJGASLTD.NS,2025-11,2025-11-01,410.0,414.0,395.0,396.0,401.0,391.0,2.56,
INDIANB.NS,2025-11,2025-11-01,866.0,895.0,850.0,870.0,882.0,858.0,2.8,
BANKBARODA.NS,2025-11,2025-11-01,284.0,295.0,281.0,290.0,294.0,286.0,2.8,
BIKAJI.NS,2025-11,2025-11-01,731.0,736.0,701.0,717.0,727.0,707.0,2.83,
HAPPSTMNDS.NS,2025-11,2025-11-01,516.0,516.0,491.0,499.0,506.0,492.0,2.85,
LICI.NS,2025-11,2025-11-01,895.0,937.0,888.0,894.0,907.0,881.0,2.95,
PETRONET.NS,2025-11,2025-11-01,283.0,286.0,270.0,272.0,276.0,268.0,2.99,
TATATECH.NS,2025-11,2025-11-01,692.0,702.0,667.0,679.0,689.0,669.0,2.99,
MRF.NS,2025-11,2025-11-01,157800.0,159700.0,151505.0,152420.0,154674.0,150166.0,3.0,
ITC.NS,2025-11,2025-11-01,420.0,422.0,400.0,404.0,410.0,398.0,3.02,
UNITDSPR.NS,2025-11,2025-11-01,1435.0,1475.0,1395.0,1452.0,1474.0,1430.0,3.08,
NTPC.NS,2025-11,2025-11-01,337.0,338.0,321.0,326.0,331.0,321.0,3.12,
CASTROLIND.NS,2025-11,2025-11-01,195.0,198.0,188.0,192.0,195.0,189.0,3.17,
ICICIGI.NS,2025-11,2025-11-01,1994.0,2065.0,1953.0,1970.0,2001.0,1939.0,3.2,
ICICIBANK.NS,2025-11,2025-11-01,1340.0,1398.0,1317.0,1389.0,1411.0,1367.0,3.22,
DRREDDY.NS,2025-11,2025-11-01,1197.0,1262.0,1188.0,1259.0,1279.0,1239.0,3.23,
SBICARD.NS,2025-11,2025-11-01,880.0,903.0,852.0,880.0,894.0,866.0,3.23,
DALBHARAT.NS,2025-11,2025-11-01,2081.0,2100.0,1982.0,2009.0,2041.0,1977.0,3.24,
COALINDIA.NS,2025-11,2025-11-01,391.0,391.0,370.0,376.0,382.0,370.0,3.24,
POLYCAB.NS,2025-11,2025-11-01,7704.0,7816.0,7384.0,7470.0,7589.0,7351.0,3.24,
NAM-INDIA.NS,2025-11,2025-11-01,875.0,897.0,845.0,876.0,890.0,862.0,3.25,
WIPRO.NS,2025-11,2025-11-01,241.0,252.0,236.0,250.0,254.0,246.0,3.25,
PNB.NS,2025-11,2025-11-01,123.0,126.0,119.0,124.0,126.0,122.0,3.28,
