ticker,year_month,period_end,open,high,low,close,r3,s3,pct_range_r3,error
ITC.NS,2025-12,2025-12-01,403.0,410.0,398.0,403.0,406.0,400.0,1.5,
PIDILITIND.NS,2025-12,2025-12-01,1470.0,1489.0,1438.0,1482.0,1496.0,1468.0,1.91,
RELIANCE.NS,2025-12,2025-12-01,1575.0,1581.0,1518.0,1570.0,1587.0,1553.0,2.19,
LT.NS,2025-12,2025-12-01,4087.0,4114.0,3949.0,4084.0,4129.0,4039.0,2.23,
DRREDDY.NS,2025-12,2025-12-01,1264.0,1293.0,1241.0,1271.0,1285.0,1257.0,2.23,
CIPLA.NS,2025-12,2025-12-01,1532.0,1536.0,1476.0,1511.0,1528.0,1494.0,2.28,
ICICIGI.NS,2025-12,2025-12-01,1980.0,1999.0,1915.0,1962.0,1985.0,1939.0,2.37,
KOTAKBANK.NS,2025-12,2025-12-01,2134.0,2205.0,2109.0,2201.0,2227.0,2175.0,2.39,
HDFCBANK.NS,2025-12,2025-12-01,1018.0,1018.0,973.0,991.0,1003.0,979.0,2.45,
NTPC.NS,2025-12,2025-12-01,327.0,331.0,316.0,330.0,334.0,326.0,2.45,
TORNTPHARM.NS,2025-12,2025-12-01,3724.0,3863.0,3689.0,3850.0,3898.0,3802.0,2.52,
ICICIBANK.NS,2025-12,2025-12-01,1394.0,1400.0,1338.0,1343.0,1360.0,1326.0,2.56,
SBIN.NS,2025-12,2025-12-01,985.0,991.0,944.0,982.0,995.0,969.0,2.68,
NIVABUPA.NS,2025-12,2025-12-01,74.0,78.0,73.0,75.0,76.0,74.0,2.7,
EICHERMOT.NS,2025-12,2025-12-01,7062.0,7374.0,7014.0,7312.0,7411.0,7213.0,2.75,
SBILIFE.NS,2025-12,2025-12-01,1967.0,2052.0,1951.0,2035.0,2063.0,2007.0,2.79,
JBCHEPHARM.NS,2025-12,2025-12-01,1771.0,1842.0,1750.0,1820.0,1845.0,1795.0,2.79,
MRF.NS,2025-12,2025-12-01,152500.0,155695.0,148000.0,152855.0,154971.0,150739.0,2.81,
SHREECEM.NS,2025-12,2025-12-01,26550.0,26720.0,25360.0,26575.0,26949.0,26201.0,2.85,
HAVELLS.NS,2025-12,2025-12-01,1449.0,1452.0,1380.0,1425.0,1445.0,1405.0,2.85,
HCLTECH.NS,2025-12,2025-12-01,1630.0,1695.0,1611.0,1623.0,1646.0,1600.0,2.88,
SIGNATURE.NS,2025-12,2025-12-01,1118.0,1154.0,1096.0,1127.0,1143.0,1111.0,2.88,
LUPIN.NS,2025-12,2025-12-01,2095.0,2147.0,2037.0,2110.0,2140.0,2080.0,2.88,
TVSMOTOR.NS,2025-12,2025-12-01,3550.0,3735.0,3543.0,3720.0,3773.0,3667.0,2.89,
DIVISLAB.NS,2025-12,2025-12-01,6500.0,6598.0,6265.0,6392.0,6484.0,6300.0,2.92,
AADHARHFC.NS,2025-12,2025-12-01,483.0,500.0,473.0,485.0,492.0,478.0,2.93,
PGHH.NS,2025-12,2025-12-01,12965.0,13156.0,12471.0,12971.0,13159.0,12783.0,2.94,
MUTHOOTFIN.NS,2025-12,2025-12-01,3779.0,3890.0,3688.0,3812.0,3868.0,3756.0,2.98,
FEDERALBNK.NS,2025-12,2025-12-01,260.0,271.0,255.0,267.0,271.0,263.0,3.04,
INDUSINDBK.NS,2025-12,2025-12-01,860.0,874.0,826.0,864.0,877.0,851.0,3.06,
POWERGRID.NS,2025-12,2025-12-01,272.0,272.0,256.0,265.0,269.0,261.0,3.07,
ZYDUSLIFE.NS,2025-12,2025-12-01,942.0,947.0,897.0,914.0,928.0,900.0,3.11,
INDGN.NS,2025-12,2025-12-01,533.0,544.0,514.0,520.0,528.0,512.0,3.12,
AXISBANK.NS,2025-12,2025-12-01,1288.0,1291.0,1217.0,1269.0,1289.0,1249.0,3.2,
TATAPOWER.NS,2025-12,2025-12-01,391.0,393.0,370.0,380.0,386.0,374.0,3.21,
GRASIM.NS,2025-12,2025-12-01,2750.0,2864.0,2700.0,2829.0,2874.0,2784.0,3.23,
MARUTI.NS,2025-12,2025-12-01,15975.0,16818.0,15851.0,16697.0,16963.0,16431.0,3.24,
TATACONSUM.NS,2025-12,2025-12-01,1172.0,1202.0,1132.0,1192.0,1211.0,1173.0,3.24,
ADANIENT.NS,2025-12,2025-12-01,2300.0,2304.0,2172.0,2240.0,2276.0,2204.0,3.27,
NAUKRI.NS,2025-12,2025-12-01,1326.0,1403.0,1323.0,1334.0,1356.0,1312.0,3.35,
ALKEM.NS,2025-12,2025-12-01,5712.0,5736.0,5405.0,5506.0,5597.0,5415.0,3.36,
BRITANNIA.NS,2025-12,2025-12-01,5825.0,6145.0,5780.0,6031.0,6131.0,5931.0,3.37,
BHARTIARTL.NS,2025-12,2025-12-01,2115.0,2164.0,2038.0,2106.0,2141.0,2071.0,3.38,
MFSL.NS,2025-12,2025-12-01,1710.0,1725.0,1625.0,1672.0,1700.0,1644.0,3.41,
ABB.NS,2025-12,2025-12-01,5218.0,5299.0,4981.0,5170.0,5257.0,5083.0,3.42,
SYNGENE.NS,2025-12,2025-12-01,652.0,665.0,624.0,651.0,662.0,640.0,3.44,
JIOFIN.NS,2025-12,2025-12-01,307.0,308.0,289.0,295.0,300.0,290.0,3.45,
LTIM.NS,2025-12,2025-12-01,6122.0,6380.0,6003.0,6064.0,6168.0,5960.0,3.49,
PFIZER.NS,2025-12,2025-12-01,4976.0,5166.0,4855.0,4988.0,5074.0,4902.0,3.51,
BOSCHLTD.NS,2025-12,2025-12-01,36280.0,37250.0,34990.0,36040.0,36662.0,35418.0,3.51,
MARICO.NS,2025-12,2025-12-01,718.0,755.0,707.0,751.0,764.0,738.0,3.52,
HDFCLIFE.NS,2025-12,2025-12-01,765.0,782.0,736.0,750.0,763.0,737.0,3.53,
INDHOTEL.NS,2025-12,2025-12-01,750.0,754.0,708.0,739.0,752.0,726.0,3.58,
BAJAJFINSV.NS,2025-12,2025-12-01,2102.0,2110.0,1980.0,2040.0,2076.0,2004.0,3.59,
ULTRACEMCO.NS,2025-12,2025-12-01,11620.0,12021.0,11266.0,11784.0,11992.0,11576.0,3.59,
TCS.NS,2025-12,2025-12-01,3138.0,3329.0,3120.0,3206.0,3263.0,3149.0,3.62,
DABUR.NS,2025-12,2025-12-01,517.0,519.0,486.0,504.0,513.0,495.0,3.64,
UNITDSPR.NS,2025-12,2025-12-01,1458.0,1465.0,1372.0,1444.0,1470.0,1418.0,3.67,
IOC.NS,2025-12,2025-12-01,162.0,170.0,160.0,166.0,169.0,163.0,3.68,
CLEAN.NS,2025-12,2025-12-01,917.0,920.0,863.0,876.0,892.0,860.0,3.72,
CUMMINSIND.NS,2025-12,2025-12-01,4490.0,4615.0,4316.0,4434.0,4516.0,4352.0,3.77,
LICHSGFIN.NS,2025-12,2025-12-01,551.0,556.0,519.0,540.0,550.0,530.0,3.77,
OBEROIRLTY.NS,2025-12,2025-12-01,1649.0,1706.0,1595.0,1671.0,1702.0,1640.0,3.78,
UTIAMC.NS,2025-12,2025-12-01,1141.0,1169.0,1093.0,1130.0,1151.0,1109.0,3.79,
AUROPHARMA.NS,2025-12,2025-12-01,1229.0,1241.0,1160.0,1183.0,1205.0,1161.0,3.79,
TRITURBINE.NS,2025-12,2025-12-01,538.0,554.0,518.0,538.0,548.0,528.0,3.79,
NESTLEIND.NS,2025-12,2025-12-01,1261.0,1294.0,1205.0,1288.0,1312.0,1264.0,3.8,
COLPAL.NS,2025-12,2025-12-01,2162.0,2194.0,2051.0,2076.0,2115.0,2037.0,3.83,
SCHAEFFLER.NS,2025-12,2025-12-01,3936.0,3970.0,3704.0,3879.0,3952.0,3806.0,3.84,
LEMONTREE.NS,2025-12,2025-12-01,160.0,168.0,157.0,159.0,162.0,156.0,3.85,
SUZLON.NS,2025-12,2025-12-01,54.0,55.0,51.0,53.0,54.0,52.0,3.85,
M&M.NS,2025-12,2025-12-01,3790.0,3795.0,3540.0,3709.0,3779.0,3639.0,3.85,
RBLBANK.NS,2025-12,2025-12-01,313.0,316.0,294.0,316.0,322.0,310.0,3.87,
LTF.NS,2025-12,2025-12-01,314.0,317.0,295.0,316.0,322.0,310.0,3.87,
ADANIPORTS.NS,2025-12,2025-12-01,1530.0,1549.0,1447.0,1470.0,1498.0,1442.0,3.88,
CONCOR.NS,2025-12,2025-12-01,513.0,528.0,491.0,525.0,535.0,515.0,3.88,
AUBANK.NS,2025-12,2025-12-01,955.0,1007.0,938.0,994.0,1013.0,975.0,3.9,
TORNTPOWER.NS,2025-12,2025-12-01,1316.0,1324.0,1232.0,1307.0,1332.0,1282.0,3.9,
METROPOLIS.NS,2025-12,2025-12-01,1930.0,1969.0,1836.0,1929.0,1966.0,1892.0,3.91,
SBFC.NS,2025-12,2025-12-01,108.0,109.0,102.0,104.0,106.0,102.0,3.92,
3MINDIA.NS,2025-12,2025-12-01,35175.0,35950.0,33490.0,35115.0,35792.0,34438.0,3.93,
EXIDEIND.NS,2025-12,2025-12-01,376.0,382.0,357.0,362.0,369.0,355.0,3.94,
INDIAMART.NS,2025-12,2025-12-01,2310.0,2346.0,2190.0,2224.0,2267.0,2181.0,3.94,
MPHASIS.NS,2025-12,2025-12-01,2822.0,2969.0,2773.0,2791.0,2845.0,2737.0,3.95,
BAJAJ-AUTO.NS,2025-12,2025-12-01,9129.0,9398.0,8735.0,9343.0,9525.0,9161.0,3.97,
DOMS.NS,2025-12,2025-12-01,2516.0,2666.0,2481.0,2615.0,2666.0,2564.0,3.98,
DMART.NS,2025-12,2025-12-01,3997.0,4010.0,3742.0,3782.0,3856.0,3708.0,3.99,
ABCAPITAL.NS,2025-12,2025-12-01,358.0,369.0,343.0,358.0,365.0,351.0,3.99,
APOLLOHOSP.NS,2025-12,2025-12-01,7375.0,7382.0,6881.0,7042.0,7180.0,6904.0,4.0,
SUPREMEIND.NS,2025-12,2025-12-01,3400.0,3421.0,3182.0,3354.0,3420.0,3288.0,4.01,
ASTRAZEN.NS,2025-12,2025-12-01,9040.0,9264.0,8618.0,9029.0,9207.0,8851.0,4.02,
TATACOMM.NS,2025-12,2025-12-01,1826.0,1897.0,1765.0,1825.0,1861.0,1789.0,4.02,
ARE&M.NS,2025-12,2025-12-01,952.0,957.0,892.0,910.0,928.0,892.0,4.04,
AMBUJACEM.NS,2025-12,2025-12-01,551.0,564.0,523.0,556.0,567.0,545.0,4.04,
CROMPTON.NS,2025-12,2025-12-01,266.0,267.0,248.0,252.0,257.0,247.0,4.05,
HYUNDAI.NS,2025-12,2025-12-01,2326.0,2420.0,2254.0,2298.0,2344.0,2252.0,4.09,
TATATECH.NS,2025-12,2025-12-01,681.0,684.0,636.0,643.0,656.0,630.0,4.13,
GODIGIT.NS,2025-12,2025-12-01,356.0,359.0,333.0,345.0,352.0,338.0,4.14,
GESHIP.NS,2025-12,2025-12-01,1115.0,1139.0,1057.0,1129.0,1152.0,1106.0,4.16,
VBL.NS,2025-12,2025-12-01,482.0,494.0,457.0,490.0,500.0,480.0,4.17,
VTL.NS,2025-12,2025-12-01,436.0,455.0,422.0,438.0,447.0,429.0,4.2,
BBTC.NS,2025-12,2025-12-01,1850.0,1940.0,1798.0,1889.0,1928.0,1850.0,4.22,
