ticker,year_month,period_end,open,high,low,close,r3,c3,pct_range_r3,error
360ONE.NS,,,,,,,,,,no_completed_month
3MINDIA.NS,,,,,,,,,,no_completed_month
ABB.NS,,,,,,,,,,no_completed_month
ACC.NS,,,,,,,,,,no_completed_month
ACMESOLAR.NS,,,,,,,,,,no_completed_month
AIAENG.NS,,,,,,,,,,no_completed_month
APLAPOLLO.NS,,,,,,,,,,no_completed_month
AUBANK.NS,,,,,,,,,,no_completed_month
AWL.NS,,,,,,,,,,no_completed_month
AADHARHFC.NS,,,,,,,,,,no_completed_month
AARTIIND.NS,,,,,,,,,,no_completed_month
AAVAS.NS,,,,,,,,,,no_completed_month
ABBOTINDIA.NS,,,,,,,,,,no_completed_month
ACE.NS,,,,,,,,,,no_completed_month
ADANIENSOL.NS,,,,,,,,,,no_completed_month
ADANIENT.NS,,,,,,,,,,no_completed_month
ADANIGREEN.NS,,,,,,,,,,no_completed_month
ADANIPORTS.NS,,,,,,,,,,no_completed_month
ADANIPOWER.NS,,,,,,,,,,no_completed_month
ATGL.NS,,,,,,,,,,no_completed_month
